chr,pos,mu1,mu2,diff,diff.se,stat,phi1,phi2,pval,fdr
chr20,82795,0.985420008562486,0.434426979206348,0.550993029356138,0.136978549603382,4.02247673779235,0.0599739354505368,0.0531724094346433,5.75893435215265e-05,0.0166078149833043
chr20,83736,0.712792790375373,0.156295371362658,0.556497419012715,0.157355673789748,3.53655769512501,0.0348435623082957,0.0845081740536444,0.000405377946667644,0.0474146766629944
chr20,137484,0.987111831556756,0.377941254804141,0.609170576752615,0.143580536873715,4.24270998017235,0.0603500683972308,0.0758755084482246,2.20836749378064e-05,0.00947840829316772
chr20,152934,0.906943718005636,0.270170866340154,0.636772851665481,0.136058698540554,4.68013334315178,0.028308075753773,0.0453971583823455,2.86688395107466e-06,0.00280789204744819
chr20,188490,0.827300293899566,0.257549462462583,0.569750831436982,0.144003352213089,3.95651089145406,0.0371113475212093,0.0459223766141855,7.60524224005219e-05,0.0193426092366376
chr20,226825,0.906599643279985,0.349481185020514,0.557118458259471,0.158094620907521,3.52395581242048,0.0284640082681459,0.0550335666883691,0.000425155143978524,0.0484477544854958
chr20,228590,0.981690412580111,0.486149272515879,0.495541140064232,0.137141065526503,3.61336801753568,0.0607721590480881,0.0504951756408586,0.000302245236520608,0.0405681950330629
chr20,231819,0.988902380595967,0.43651357527771,0.552388805318257,0.150660565478556,3.66644585173072,0.061325622550579,0.0504722474915032,0.000245944967682753,0.0365054100369338
chr20,306085,0.874379128123076,0.233813413850054,0.640565714273022,0.148401611582365,4.31643367914168,0.0426829816595793,0.0581235441758286,1.5857029432996e-05,0.00785591001030434
chr20,588046,0.309746350285141,0.831837004648986,-0.522090654363845,0.148314197746129,-3.52016639200998,0.0288768757991655,0.0537252690401762,0.000431276150991956,0.0486936314038195
chr20,623546,0.3363755458756,0.880765566594889,-0.54439002071929,0.154504432399839,-3.52345892129796,0.0378937245017257,0.0951096097938958,0.000425953119700085,0.0484845790351565
chr20,687591,0.750474150505146,0.17907874102067,0.571395409484475,0.153929865221803,3.71205034618286,0.0320947013487537,0.044173518611893,0.000205587079504728,0.0331404209687691
chr20,698934,0.986782941748323,0.484149032321707,0.502633909426616,0.137248362300886,3.66222154494424,0.0601408442677979,0.0475721302523625,0.000250037474160902,0.0368038398165553
chr20,713710,0.878657532033459,0.238247586746816,0.640409945286643,0.137431216005499,4.6598579558593,0.0247995789910903,0.0481730702700818,3.16427669099903e-06,0.00295514134029994
chr20,734823,0.93044067539928,0.342020801601557,0.588419873797722,0.164439630772625,3.57833370844371,0.0445926631598036,0.0520663775239278,0.000345791768559304,0.0435070094726402
chr20,785893,0.896330043585715,0.210022305912426,0.686307737673289,0.142031916007546,4.83206702384292,0.0708534119234081,0.0464925032801966,1.35122746196121e-06,0.00177277135845565
chr20,814278,0.88845442413156,0.290765814523792,0.597688609607769,0.16258929677622,3.67606368597804,0.0301118395928873,0.054607938262103,0.000236860416124208,0.0358728559238707
chr20,840605,0.351040342311687,0.900381270252261,-0.549340927940573,0.148461514330179,-3.70022446840221,0.030053402351287,0.0714797232365864,0.000215408846628338,0.0340634914774107
chr20,867817,0.948439646957774,0.320246215327912,0.628193431629862,0.160794699944812,3.90680434022682,0.041049228007742,0.0809400876193526,9.35248249305668e-05,0.0216363172334008
chr20,937843,0.766153637774476,0.131643924005904,0.634509713768571,0.146986761223731,4.31678137871734,0.0381813948976319,0.0768009921713145,1.58320824584454e-05,0.0078506942367804
chr20,945237,0.909507011081014,0.406258057023203,0.503248954057811,0.142326769606791,3.53586999443707,0.0440778052145645,0.0464901477660629,0.000406434654643923,0.0474872668550789
chr20,978285,0.88267870032492,0.334051817848339,0.548626882476581,0.142052313855244,3.86214675134155,0.0305893852362747,0.0447337278208123,0.000112395014495727,0.0239606455569536
chr20,984064,0.913758888098773,0.380649216072302,0.533109672026471,0.138013962419594,3.86272274688916,0.0276533381065607,0.0430529971996215,0.000112130244117268,0.0239480578403745
chr20,993202,0.93896712617571,0.42981440837617,0.50915271779954,0.134319522999781,3.79060844193418,0.0384766603134366,0.0427182050180071,0.000150278702992704,0.0280039633228181
chr20,1038888,0.986089309850958,0.402859713955509,0.583229595895449,0.130877446902208,4.45630327990153,0.0600730865843628,0.0450957282707931,8.33850461407926e-06,0.00534123403555118
chr20,1046724,0.948760995074742,0.416977922335256,0.531783072739486,0.131969417913038,4.02959322810615,0.0370228244904385,0.0410308240876641,5.58734536042621e-05,0.0162942193556537
